airbnb_url,address,proof_1,proof_2,proof_3
https://www.airbnb.com/rooms/1444979501153843915,10 Skinners Pl,"https://www.google.com/maps/place/8+Skinner+Pl,+Savannah,+GA+31406/@32.0004815,-81.0642944,7a,75y,172.28h,78.91t/data=!3m7!1e1!3m5!1sKg6ixYRXGMeilTtOxkeOmQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D11.092976657129938%26panoid%3DKg6ixYRXGMeilTtOxkeOmQ%26yaw%3D172.2848601814919!7i3328!8i1664!4m7!3m6!1s0x88fb767c94afaba1:0x3e6f7b45b5fd4823!8m2!3d31.9998988!4d-81.0661166!10e5!16s%2Fg%2F11l5ct7dhv?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D",,
https://www.airbnb.com/rooms/742234994694149508,101 LANDWARD WAY,https://www.zillow.com/homedetails/101-Landward-Way-Savannah-GA-31410/14131396_zpid/,,
https://www.airbnb.com/rooms/1005657412638390087,103 turnbuckle ct,https://www.zillow.com/homedetails/103-Turnbuckle-Ct-Savannah-GA-31410/14131232_zpid/,,
https://www.airbnb.com/rooms/1115959586377919929,104 QUARTERMAN DR,https://www.realtor.com/realestateandhomes-detail/104-Quarterman-Dr_Savannah_GA_31410_M56972-60770?msockid=3dc9ed50a69e6c3f09aefa42a7486df1,,
https://www.airbnb.com/rooms/1516816784750356745,106 Oyster Catcher Ln,https://www.realtor.com/realestateandhomes-detail/M6022219789,,
https://www.airbnb.com/rooms/916148287801341255,109 N CROMWELL RD,https://www.realtor.com/realestateandhomes-detail/109-N-Cromwell-Rd_Savannah_GA_31410_M59091-92185,,
https://www.airbnb.com/rooms/969602097220089994,"109 Twelve Oaks Ln, Savannah, GA 31410",https://www.realtor.com/realestateandhomes-detail/M5925812795,,
https://www.airbnb.com/rooms/739651787894205434,11 Black Forest Dr,https://www.redfin.com/GA/Savannah/11-Black-Forest-Dr-31410/home/120878458,,
https://www.airbnb.com/rooms/1702998109364969067,11 GOVERNMENT RD,https://www.zillow.com/homedetails/11-Government-Rd-Savannah-GA-31406/14137789_zpid/,,
https://www.airbnb.com/rooms/1663190508912907923,11 GOVERNMENT RD,https://www.zillow.com/homedetails/11-Government-Rd-Savannah-GA-31406/14137789_zpid/,,
