url,rental_type,guests,bedrooms,beds,baths,latitude,longitude,host_name,superhost,years_hosting
https://www.airbnb.com/rooms/1037616847304846145,Entire condo,4,1,2,1,32.0802,-81.0956,Alyssa Superhost · 6 years hosting,Superhost,6
https://www.airbnb.com/rooms/1037748463133229179,Entire home,9,4,5,2,32.0292,-81.0546,Gerald Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1039311687513391820,Entire home,6,2,3,1,32.04507,-81.18971,Vacasa Georgia 8 years hosting,,8
https://www.airbnb.com/rooms/1039351255865103176,Entire rental unit,6,2,4,1,32.11202,-81.24737,Labi Superhost · 7 years hosting,Superhost,7
https://www.airbnb.com/rooms/1039981723043243595,Entire home,6,3,4,2,32.11908,-81.15339,Paulette Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1040871866028757408,Entire rental unit,6,2,4,1,32.10811,-81.24727,Labi Superhost · 7 years hosting,Superhost,7
https://www.airbnb.com/rooms/1041923631571138642,Entire home,6,3,4,2,32.087,-81.24953,Bien Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1044814103644540047,Entire home,7,3,4,2,32.04077,-81.0065,Morgan Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1045774141190855625,Entire home,4,2,2,1,32.02499,-81.09168,Lelly Superhost · 4 years hosting,Superhost,4
https://www.airbnb.com/rooms/1045960760418208185,Entire home,4,2,2,1,32.02555,-81.09109,Lelly Superhost · 4 years hosting,Superhost,4
https://www.airbnb.com/rooms/1046502724086075619,Entire home,6,3,3,3,32.1324,-81.299,Lorie 3 years hosting,,3
https://www.airbnb.com/rooms/1047360707611645002,Entire home,9,3,5,2,31.96326,-81.13929,Cairo Walters 3 years hosting,,3
https://www.airbnb.com/rooms/1047398678982660638,Entire home,14,4,7,3,32.0137,-80.9706,Carlos & Marci Superhost · 7 years hosting,Superhost,7
https://www.airbnb.com/rooms/1050241112263539257,Entire rental unit,6,3,3,2,32.06013,-81.10391,Jay C 3 years hosting,,3
https://www.airbnb.com/rooms/1050811506611396480,Entire home,6,3,3,2,32.0256,-81.2218,Liz Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1059423587934265105,Entire home,9,4,,2,32.06014,-81.10574,Savannah Retreat Superhost · 7 years hosting,Superhost,7
https://www.airbnb.com/rooms/10594915,Entire townhouse,4,2,2,1,32.0716,-81.0873,Janet Superhost · 13 years hosting,Superhost,13
https://www.airbnb.com/rooms/1061215177968364875,Entire home,12,3,6,2,32.10644,-81.14964,Brooke 3 years hosting,,3
https://www.airbnb.com/rooms/1061824254594787543,Entire townhouse,4,2,2,2,32.0727,-81.0887,Donna Superhost · 4 years hosting,Superhost,4
https://www.airbnb.com/rooms/1062480936293477349,Entire home,6,3,3,2,32.04937,-81.10892,Juan 4 years hosting,,4
https://www.airbnb.com/rooms/1066817842172394156,Entire home,6,3,2,2,32.0079,-80.9763,Carlos & Marci Superhost · 7 years hosting,Superhost,7
https://www.airbnb.com/rooms/1070978616828850674,Entire rental unit,4,1,2,1,32.074,-81.0916,Farrell Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1071011481498897440,Entire home,8,4,5,3,32.0616,-81.2634,Carmelo Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1072919261915096855,Entire home,7,3,3,3,32.01475,-80.95557,Kayla & Cameron 5 years hosting,,5
https://www.airbnb.com/rooms/1074018054839976789,Entire rental unit,4,2,2,1,32.074,-81.0916,Farrell Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1077452008381370730,Entire home,8,4,4,3,32.05797,-81.25921,Arnoldo Superhost · 8 years hosting,Superhost,8
https://www.airbnb.com/rooms/1079049365743748142,Entire home,7,3,4,1,32.14757,-81.1594,Arneja 2 years hosting,,2
https://www.airbnb.com/rooms/1082783482499537636,Entire condo,4,2,2,2,32.08076,-81.09282,Southern Belle Vacation Rentals Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1085067613506171624,Entire home,6,3,3,3,32.0466,-81.06574,Chad Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1085743948191451484,Entire home,10,5,6,2,32.0231,-81.24027,Sharleen And Billy Ryan Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1087835439988441752,Entire home,6,3,3,2,32.0728,-81.0904,Lucky Savannah Superhost · 10 years hosting,Superhost,10
